year,month,location,state,class,grade,units,bid_low,bid_high,bid_avg,spread,quality,price_lag,price_diff,diff_pct,price_inc,None,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,D2plus_lag1,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,D2plus_lag2,D0_lag3,D1_lag3,D2_lag3,D3_lag3,D4_lag3,D2plus_lag3,D0_lag4,D1_lag4,D2_lag4,D3_lag4,D4_lag4,D2plus_lag4,D0,D1,D2,D3,D4,D2plus
2000,1,Mountains and Northwest,CO,ALFALFA,GOOD,ton,75,75,75,0,ALFALFA_GOOD,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,GRASS,FAIR,ton,50,60,55,10,GRASS_FAIR,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,GRASS,GOOD,ton,60,70,65,10,GRASS_GOOD,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,GRASS,PREMIUM,ton,90,95,92.5,5,GRASS_PREMIUM,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,ALFALFA,GOOD,ton,75,75,75,0,ALFALFA_GOOD,75,0,0,0,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,1,Mountains and Northwest,CO,ALFALFA,PREMIUM,ton,80,80,80,0,ALFALFA_PREMIUM,NA,NA,NA,NA,20.875085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21302,0,0,0,0,0
2000,2,Mountains and Northwest,CO,ALFALFA,GOOD,ton,75,75,75,0,ALFALFA_GOOD,75,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,GRASS,FAIR,ton,50,60,55,10,GRASS_FAIR,55,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,GRASS,GOOD,ton,60,70,65,10,GRASS_GOOD,65,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,GRASS,PREMIUM,ton,90,95,92.5,5,GRASS_PREMIUM,92.5,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,ALFALFA,GOOD,ton,75,75,75,0,ALFALFA_GOOD,75,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,2,Mountains and Northwest,CO,ALFALFA,PREMIUM,ton,80,80,80,0,ALFALFA_PREMIUM,80,0,0,0,26.84405,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24406,0,0,0,0,0
2000,3,Mountains and Northwest,CO,ALFALFA,GOOD,ton,75,75,75,0,ALFALFA_GOOD,75,0,0,0,28.08811,1.24406,0,0,0,0,0,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2000,3,Mountains and Northwest,CO,ALFALFA,PREMIUM,ton,100,100,100,0,ALFALFA_PREMIUM,80,20,0.2,1,28.08811,1.24406,0,0,0,0,0,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2000,3,Mountains and Northwest,CO,GRASS,FAIR,ton,50,60,55,10,GRASS_FAIR,55,0,0,0,28.08811,1.24406,0,0,0,0,0,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2000,3,Mountains and Northwest,CO,GRASS,GOOD,ton,60,70,65,10,GRASS_GOOD,65,0,0,0,28.08811,1.24406,0,0,0,0,0,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2000,3,Mountains and Northwest,CO,GRASS,PREMIUM,ton,90,99,94.5,9,GRASS_PREMIUM,92.5,2,0.0212,1,28.08811,1.24406,0,0,0,0,0,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2000,3,Mountains and Northwest,CO,ALFALFA,GOOD,ton,75,75,75,0,ALFALFA_GOOD,75,0,0,0,28.08811,1.24406,0,0,0,0,0,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2000,3,Mountains and Northwest,CO,ALFALFA,PREMIUM,ton,80,80,80,0,ALFALFA_PREMIUM,100,-20,-0.25,-1,28.08811,1.24406,0,0,0,0,0,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
2000,4,Mountains and Northwest,CO,ALFALFA,GOOD,ton,72.5,75,73.75,2.5,ALFALFA_GOOD,75,-1.25,-0.0169,-1,28.08811,0,0,0,0,0,0,1.24406,0,0,0,0,0,7.21302,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
